childgender,childage,enrolled,momage,mauza,momeduc,schoolpresent7,birth_tehsil,child_edu_time
1,8,1,34,313410304001,0,1,3134,120
1,7,1,34,313410304001,0,1,3134,120
2,10,1,34,313410304001,0,1,3134,150
2,12,1,34,313410304001,0,1,3134,150
1,10,1,28,313410304001,1,0,3134,180
2,9,1,28,313410304001,1,0,3134,180
2,15,0,37,313410304001,1,1,3134,0
1,12,1,37,313410304001,1,1,3134,165
2,10,0,37,313410304001,1,1,3134,0
2,13,0,48,313410304001,0,0,3134,0
1,6,1,48,313410304001,0,0,3134,120
1,10,1,48,313410304001,0,0,3134,120
2,9,0,30,313410304001,0,1,3134,0
2,6,0,30,313410304001,0,1,3134,0
1,12,1,30,313410304001,0,1,3134,120
1,8,0,54,313410304001,0,0,3134,0
1,12,1,54,313410304001,0,0,3134,120
2,11,1,32,371410212001,1,1,3714,210
2,9,1,32,371410212001,1,1,3714,150
1,9,1,34,371410212001,1,1,3714,180
2,8,1,34,371410212001,1,1,3714,120
1,6,1,27,371410212001,1,1,3714,240
1,9,1,27,371410212001,1,1,3714,240
1,13,1,30,371410212001,1,1,3714,180
1,11,1,30,371410212001,1,1,3714,120
2,8,1,30,371410212001,1,1,3714,90
1,7,1,42,371410212001,0,1,3714,120
2,10,0,42,371410212001,0,1,3714,120
1,13,0,42,371410212001,0,1,3714,0
1,15,1,53,313410304001,0,0,3134,240
2,13,0,53,313410304001,0,0,3134,0
1,10,0,53,313410304001,0,0,3134,0
1,9,1,23,313410304001,0,1,3134,180
2,12,0,50,313410304001,0,0,3134,0
1,5,1,38,313410304001,0,1,3134,60
1,7,1,38,313410304001,0,1,3134,120
1,14,0,38,313410304001,0,1,3134,0
1,12,0,38,313410304001,0,1,3134,60
1,8,0,45,313410304001,0,1,3134,0
2,6,0,45,313410304001,0,1,3134,0
2,14,0,40,371410212001,0,1,3714,0
2,12,0,40,371410212001,0,1,3714,0
1,10,1,40,371410212001,0,1,3714,180
2,6,0,26,371410212001,0,1,3714,0
1,10,1,26,371410212001,0,1,3714,60
1,9,1,36,313410106004,1,0,3134,195
2,5,1,36,313410106004,1,0,3134,195
2,7,1,36,313410106004,1,0,3134,225
1,13,1,36,313410106004,1,0,3134,195
2,15,1,36,313410106004,1,0,3134,0
1,11,1,36,313410106004,1,0,3134,195
2,9,1,30,313410106004,1,1,9995,150
1,7,1,30,313410106004,1,1,9995,150
1,10,1,35,313410106004,0,0,3134,300
1,14,0,35,313410106004,0,0,3134,0
2,13,0,35,313410106004,0,0,3134,0
1,13,0,39,313410106004,0,1,9995,0
1,7,1,34,371410314001,0,1,3714,180
2,12,1,34,371410314001,0,1,3714,180
2,10,1,34,371410314001,0,1,3714,180
2,14,1,34,371410314001,0,1,3714,180
1,5,1,34,371410314001,0,1,3714,180
1,9,1,34,371410314001,0,1,3714,240
2,14,0,43,371410314001,0,1,3714,0
1,9,1,35,371410314001,0,1,3714,90
2,10,1,35,371410314001,0,1,3714,60
2,9,1,35,371410314001,0,1,3714,180
1,12,1,35,371410314001,0,1,3714,180
1,12,1,48,371410314001,0,1,3714,120
2,14,0,48,371410314001,0,1,3714,0
1,9,1,35,371410314001,0,1,3714,180
1,7,1,35,371410314001,0,1,3714,180
2,5,1,27,371410314001,0,1,3714,120
2,11,1,27,371410314001,0,1,3714,120
1,6,1,27,371410314001,0,1,3714,120
1,9,1,27,371410314001,0,1,3714,180
2,12,1,32,371410314001,0,1,3715,180
1,9,1,32,371410314001,0,1,3715,240
1,11,1,32,371410314001,0,1,3715,150
2,6,1,43,371410314001,0,1,3714,120
1,10,1,43,371410314001,0,1,3714,120
1,5,1,37,313410106004,0,0,3641,120
2,14,1,37,313410106004,0,0,3641,90
1,12,1,37,313410106004,0,0,3641,90
1,8,1,37,313410106004,0,0,3641,90
2,12,1,37,313410106004,0,0,3641,120
1,15,1,40,371410314001,0,1,3714,150
1,13,1,40,371410314001,0,1,3714,180
1,9,1,26,371410314001,1,1,3714,180
1,8,1,26,371410314001,1,1,3714,150
1,14,1,40,371410314001,0,1,3714,120
1,9,1,40,371410314001,0,1,3714,120
1,12,1,40,371410314001,0,1,3714,120
2,15,0,32,313410106004,0,0,3134,0
2,5,0,32,313410106004,0,0,3134,0
2,11,0,32,313410106004,0,0,3134,0
1,13,0,32,313410106004,0,0,3134,0
2,15,0,36,313410106004,0,0,3134,0
1,12,1,36,313410106004,0,0,3134,150
1,9,1,38,313410106004,0,0,3134,60
2,5,0,38,313410106004,0,0,3134,0
1,12,0,38,313410106004,0,0,3134,0
1,15,1,38,313410106004,0,0,3134,120
2,10,0,37,313410106004,0,0,3134,0
2,13,0,37,313410106004,0,0,3134,0
2,15,0,37,313410106004,0,0,3134,0
1,8,1,37,313410106004,0,0,3134,120
1,7,1,28,313410106004,0,0,3134,90
1,13,1,33,313410106004,1,1,3134,300
2,11,1,33,313410106004,1,1,3134,300
2,9,1,33,313410106004,1,1,3134,120
1,10,1,46,313410106004,1,0,3134,30
1,13,1,46,313410106004,1,0,3134,30
2,12,1,38,313410106004,0,0,3134,240
2,5,1,37,313410106004,1,0,3134,30
1,11,1,37,313410106004,1,0,3134,150
1,9,1,37,313410106004,1,0,3134,150
1,14,1,37,313410106004,1,0,3134,180
2,15,0,55,313410106004,0,0,3134,0
2,12,1,45,313310901001,0,0,3133,60
1,13,1,48,313310901001,0,0,3133,240
1,9,1,48,313310901001,0,0,3133,240
1,7,1,48,313310901001,0,0,3131,165
2,10,1,45,313310901001,0,0,3133,180
1,12,1,45,313310901001,0,0,3133,60
1,14,1,45,313310901001,0,0,3133,120
2,15,1,40,313310901001,0,1,3133,180
2,7,1,40,313310901001,0,1,3133,60
1,13,0,40,313310901001,0,1,3133,0
1,10,1,40,313310901001,0,1,3133,180
2,14,1,40,313310901001,0,0,3133,450
1,12,1,40,313310901001,0,0,3133,210
1,6,1,40,313310901001,0,0,3133,270
2,12,1,36,313310901001,1,1,3133,210
2,10,1,36,313310901001,1,1,3133,0
2,5,1,36,313310901001,1,1,3133,60
1,14,1,36,313310901001,1,1,3133,0
1,9,0,38,371510306001,0,1,9999,0
2,9,0,63,371510306001,0,1,3715,0
2,14,0,45,371510306001,0,1,3715,0
2,9,1,26,371510306001,0,1,3715,0
2,5,1,26,371510306001,0,1,3715,0
1,12,0,41,371510306001,0,1,3715,0
1,10,0,41,371510306001,0,1,3715,0
1,11,1,33,371510304002,0,1,3715,120
1,7,1,33,371510304002,0,1,3715,0
2,9,1,33,371510304002,0,1,3715,120
1,15,1,33,371510304002,0,1,3715,120
2,13,1,33,371510304002,0,1,3715,240
2,8,1,32,371510304002,1,1,3715,60
2,11,1,32,371510304002,1,1,3715,120
2,7,1,32,371510304002,1,1,3715,60
2,14,1,32,371510304002,1,1,3715,300
2,9,0,32,371510304002,0,1,3715,0
2,7,0,32,371510304002,0,1,3715,0
1,13,1,48,371510304002,0,1,3715,180
2,15,1,48,371510304002,0,1,3715,0
2,9,1,27,371510304002,0,1,3715,180
2,11,1,27,371510304002,0,1,3715,180
2,12,1,50,371510304002,0,0,3715,90
2,6,1,32,371510304002,0,1,3715,120
1,14,1,32,371510304002,0,1,3715,120
2,9,1,32,371510304002,0,1,3715,120
1,11,1,32,371510304002,0,1,3715,120
1,11,1,35,371510304002,0,1,3715,120
2,15,0,35,371510304002,0,1,3715,0
2,13,1,35,371510304002,0,1,3715,120
1,9,1,35,371510304002,0,1,3715,60
1,12,1,42,371510304002,1,1,3715,180
1,9,1,42,371510304002,1,1,3715,180
2,14,1,42,371510304002,1,1,3715,180
2,10,1,28,371510304002,1,1,3715,180
1,7,1,28,371510304002,1,1,3715,180
1,6,1,39,371510304002,0,1,3715,60
2,11,1,39,371510304002,0,1,3715,120
2,8,1,39,371510304002,0,1,3715,120
1,11,1,45,371510304002,0,0,3715,120
2,14,0,45,371510304002,0,0,3715,0
1,8,1,45,371510304002,0,0,3715,120
1,12,1,35,371510304002,0,1,3715,180
1,14,1,35,371510304002,0,1,3715,240
1,9,1,35,371510304002,0,1,3715,180
2,11,1,35,371510304002,0,1,3715,180
1,5,1,35,371510304002,0,1,3715,180
1,8,1,34,371510304002,1,1,3715,120
2,6,1,34,371510304002,1,1,3715,120
1,7,1,34,371510304002,1,1,3715,120
2,10,0,45,313410105006,0,0,3134,0
2,8,0,45,313410105006,0,0,3134,0
1,12,1,45,313410105006,0,0,3134,60
2,13,0,47,313410105006,0,0,3134,0
1,11,1,47,313410105006,0,0,3134,60
2,6,0,47,313410105006,0,0,3134,0
1,10,1,47,313410105006,0,0,3134,60
1,9,0,47,313410105006,0,0,3134,0
1,10,1,46,371310101001,1,1,3713,120
1,12,1,46,371310101001,1,1,3713,240
2,9,1,35,371310101001,0,1,3713,180
1,9,1,40,371310101001,1,1,3713,150
2,11,1,40,371310101001,1,1,3713,210
