age,salary,hours,weeks,educ,immigrant,test_score
44,48000,48,52,17,1,1.9517334
44,5000,20,40,12,1,-1.7034549
44,54000,45,52,16,1,1.2705041
44,80000,50,52,12,0,.17391731
44,99999,55,52,16,0,2.4785454
45,48000,40,52,17,1,.40056881
45,30000,60,52,12,0,.89536446
45,26000,52,52,13,1,-.93801463
45,30000,55,52,13,0,.9743675
45,54000,45,52,17,1,-.45679295
45,35000,40,52,16,0,.38989973
45,3000,40,48,16,0,.55225784
45,39000,45,52,13,0,1.1189991
45,25000,40,52,12,1,1.2943964
45,99999,70,52,16,0,.80112934
45,38000,40,52,13,0,1.0006734
45,30000,40,52,15,0,-1.3093956
45,7500,40,52,16,1,.017176785
45,42000,40,44,17,1,1.2793809
45,5381,15,45,15,1,.16102791
45,25000,28,46,12,0,.48970708
45,62000,40,52,13,0,1.2171572
45,10400,30,46,12,1,-.88252801
45,35000,60,52,16,1,-1.2750925
45,5800,40,52,12,1,.43372241
45,40000,50,50,15,1,-.015349426
46,38589,40,52,16,0,-.58095068
46,28500,48,52,9,0,.70840496
46,3009,40,26,8,1,-1.5332665
46,35000,40,52,16,1,1.1366103
46,52768,33,43,16,1,2.0133629
46,14500,42,47,12,0,.52868563
46,169999,40,52,17,0,3.3018448
46,72221,60,50,16,0,-.73783177
46,50000,60,52,16,0,-.7141363
46,14000,36,44,13,1,-1.1267745
46,21000,40,52,16,1,-1.4476235
46,17000,45,52,12,1,-.45571086
46,18000,20,52,14,1,1.0984237
46,30000,40,52,15,0,.9802649
46,36000,40,52,17,1,-.4030624
46,35540,45,52,16,0,1.1552438
46,20000,40,52,7,0,-.11162744
46,62000,50,52,14,0,.94643402
46,39000,45,52,16,1,.40647396
46,30000,40,52,16,1,-.54471028
46,15000,46,52,12,1,.33974108
46,43300,50,52,16,0,1.0881459
46,24000,50,46,9,1,1.2453375
46,24500,35,40,15,1,1.1716788
46,53000,50,48,17,1,1.638991
47,15000,40,52,13,1,-.63436705
47,26000,40,52,13,1,.063335501
47,150000,50,52,16,0,2.2765296
47,16500,50,52,15,1,.090465449
47,15000,40,52,12,0,-1.1068008
47,5000,40,52,12,0,.44789457
47,14000,40,52,12,1,-1.3412473
47,30000,38,52,17,1,-.66853541
47,3500,60,52,13,0,-.75554401
47,52000,40,52,16,0,.5955624
47,12000,35,45,13,1,-.16971132
47,80000,50,52,13,0,2.0424316
47,30500,45,52,12,1,-.063729972
47,6000,40,52,13,1,-1.892441
47,18000,40,52,13,0,-.66337985
47,24000,40,52,12,1,-.28581521
47,35000,35,52,15,1,-.23573421
47,40000,42,52,13,0,.11058363
47,46000,40,52,12,0,-.89185482
47,8000,35,52,14,1,-.11257166
47,25000,45,52,16,0,-.79662406
47,99999,60,52,17,0,1.3387547
47,34800,24,52,14,1,1.9960039
47,31000,40,52,16,1,1.292292
47,30000,40,52,12,0,-1.3395253
47,35000,50,52,16,0,.084510393
48,40000,50,52,16,0,-.87398815
48,73000,40,50,19,1,.60480803
48,54075,60,52,17,0,-1.0070317
48,25000,40,50,16,1,.35287115
48,68000,40,52,17,0,1.3087705
48,3000,14,26,6,1,-.89815241
48,16000,40,52,6,0,-.67361724
48,38075,40,52,14,0,.36315349
48,10200,40,52,15,1,-.52558094
48,7200,40,52,10,1,-1.4035811
48,50000,40,52,14,0,-.13509728
48,47000,40,52,16,0,.7489112
48,35000,40,52,17,1,.54650903
48,26000,40,52,9,0,.16248985
48,42000,40,46,16,0,-.43478397
48,43000,44,52,14,0,.56690812
48,30203,55,52,18,1,1.0386329
48,31000,40,38,17,1,2.0911884
48,40000,40,52,16,0,-.98341119
49,24000,40,52,16,1,-.92951143
49,85200,45,52,16,0,1.1230017
